City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
152,Bengkulu,ID,84.27,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
164,Kendari,ID,84.43,moderate rain,-3.945,122.4989,Hotel Wixel
167,Denpasar,ID,89.26,few clouds,-8.65,115.2167,ASTON Denpasar Hotel & Convention Center
183,Port Macquarie,AU,77.9,broken clouds,-31.4333,152.9167,Rydges Port Macquarie
188,Vila Velha,BR,78.75,scattered clouds,-20.3297,-40.2925,Quality Suites Vila Velha
190,Kavieng,PG,85.01,broken clouds,-2.5744,150.7967,Nusa Island Retreat
205,Lethem,GY,77.9,overcast clouds,3.3803,-59.7968,Savannah Inn
212,Cayenne,GF,80.1,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
214,Rantepao,ID,80.58,overcast clouds,-2.9701,119.8978,Hotel Luta Resort
216,Flinders,AU,76.8,scattered clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
217,Hithadhoo,MV,82.99,overcast clouds,-0.6,73.0833,Scoop Guest House
219,Dennery,LC,77.09,scattered clouds,13.8996,-60.8879,The Fox Grove Inn
224,Sumbe,AO,75.83,overcast clouds,-11.2061,13.8437,Hotel Ritz Sumbe
231,Bambous Virieux,MU,82.65,broken clouds,-20.3428,57.7575,Casa Tia Villa
236,Victor Harbor,AU,78.8,light rain,-35.5667,138.6167,McCracken Country Club
238,Bonthe,SL,75.52,broken clouds,7.5264,-12.505,Bonthe Holiday Village
244,Caravelas,BR,75.97,scattered clouds,-17.7125,-39.2481,Pousada dos Navegantes
246,Puerto Escondido,MX,79.63,few clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
253,General Roca,AR,76.51,clear sky,-39.0333,-67.5833,Hotel y Casino del Río General Roca
258,Matara,LK,84.38,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
259,Carnarvon,AU,86.05,clear sky,-24.8667,113.6333,Hospitality Carnarvon
265,La Asuncion,VE,76.23,broken clouds,11.0333,-63.8628,Colinas de Matasiete
269,Itarema,BR,77.05,clear sky,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
270,Harper,LR,78.28,moderate rain,4.375,-7.7169,Screensaver
275,Saint-Joseph,RE,80.98,overcast clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
282,Hobyo,SO,77.22,clear sky,5.3505,48.5268,Halane Hotel and Restaurent
283,Kaeo,NZ,77.32,overcast clouds,-35.1,173.7833,Bushido Lodge
284,Luklukan,PH,81.64,broken clouds,14.3254,122.7124,Nipa Nipa Beach
289,Dicabisagan,PH,81.48,broken clouds,17.0818,122.4157,Nancy Montanes Bernardo
293,Libreville,GA,78.39,light rain,0.3925,9.4537,Le Méridien Re-Ndama
297,The Valley,AI,77.09,scattered clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
298,Bacolod,PH,86.9,broken clouds,10.6667,122.95,Planta Hotel & Residences
300,Acarau,BR,77.13,clear sky,-2.8856,-40.12,castelo pizzaria
301,Mahebourg,MU,82.69,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
320,Sorong,ID,83.23,scattered clouds,-0.8833,131.25,Waigo Splash Hotel
321,Namuac,PH,81.81,scattered clouds,18.6109,121.1657,Mlin Hotel
326,Honiara,SB,78.3,overcast clouds,-9.4333,159.95,Heritage Park Hotel
328,Touros,BR,76.1,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
329,Beloha,MG,80.82,overcast clouds,-25.1667,45.05,
332,Sabang,ID,81.93,light rain,5.8933,95.3214,Hotel Citra
340,Sao Joao Da Barra,BR,75.9,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
347,Cilegon,ID,80.49,light rain,-6.0174,106.0538,Amaris Hotel Cilegon
353,Alofi,NU,78.49,light rain,-19.0595,-169.9187,Taloa Heights
355,Banjar,ID,89.46,broken clouds,-8.19,114.9675,The Hamsa Resort
358,Port Blair,IN,82.44,scattered clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
360,Tabou,CI,77.74,light rain,4.423,-7.3528,hotêl doufoulougou
362,Punta Cardon,VE,77.9,scattered clouds,11.6581,-70.215,Bambuda hotel
372,Manta,EC,76.78,broken clouds,-0.95,-80.7333,Balandra Hotel
375,Cabedelo,BR,75.87,few clouds,-6.9811,-34.8339,Hotel Pigalle
381,Ha Tinh,VN,77.05,overcast clouds,18.3333,105.9,Phú Quý
