City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
106,Derzhavinsk,KZ,51.1,66.3167,23.49,94,96,18.68,light snow
107,Upernavik,GL,72.7868,-56.1549,-12.66,94,100,14.18,overcast clouds
108,Monte Alegre,BR,-2.0078,-54.0692,73.4,96,85,3.22,overcast clouds
109,Komsomolskiy,UZ,40.4272,71.7189,40.35,87,100,2.3,mist
110,Skelleftea,SE,64.7507,20.9528,7.16,67,0,1.14,clear sky
111,Mount Isa,AU,-20.7333,139.5,91.17,43,75,8.05,broken clouds
112,Mount Gambier,AU,-37.8333,140.7667,89.65,17,67,8.5,broken clouds
113,Coahuayana,MX,18.7333,-103.6833,68.59,87,30,3.69,scattered clouds
114,Geraldton,AU,-28.7667,114.6,82.81,32,0,17.27,clear sky
115,Namibe,AO,-15.1961,12.1522,70.86,84,97,8.16,overcast clouds
116,Narok,KE,-1.0783,35.8601,60.06,82,88,3.65,overcast clouds
117,Husavik,IS,66.0449,-17.3389,27.16,76,98,15.05,overcast clouds
118,Aksarka,RU,66.5606,67.7975,-1.28,96,100,10.07,overcast clouds
119,Egvekinot,RU,66.3167,-179.1667,-18.72,69,0,13.27,clear sky
120,Bonavista,CA,48.6499,-53.1147,24.12,71,100,17.13,overcast clouds
121,Bichena,ET,10.45,38.2,57.11,60,92,3.42,overcast clouds
122,Mahibadhoo,MV,3.7833,72.9667,82.17,68,100,14.18,overcast clouds
123,Tasiilaq,GL,65.6145,-37.6368,23.16,77,100,7.45,light snow
124,Garden Acres,US,37.9638,-121.2294,56.21,76,0,0.0,clear sky
125,Tiarei,PF,-17.5333,-149.3333,84.22,80,100,22.24,light rain
126,Nemuro,JP,43.3236,145.575,27.36,66,49,4.92,scattered clouds
127,Yarada,IN,17.65,83.2667,79.12,65,20,5.75,haze
128,Bullhead City,US,35.1478,-114.5683,63.21,19,0,8.05,clear sky
129,Sao Filipe,CV,14.8961,-24.4956,71.1,76,2,2.24,clear sky
130,Badin,PK,24.656,68.8384,73.4,60,0,7.0,clear sky
131,Lorengau,PG,-2.0226,147.2712,85.37,70,53,8.72,broken clouds
132,Nanortalik,GL,60.1432,-45.2371,10.2,68,76,54.6,broken clouds
133,Jiwani,PK,25.05,61.7417,70.63,56,1,8.66,clear sky
134,Lebu,CL,-37.6167,-73.65,59.81,84,87,14.34,overcast clouds
135,Carauari,BR,-4.8828,-66.8958,73.44,98,100,1.34,overcast clouds
136,Tuktoyaktuk,CA,69.4541,-133.0374,-34.13,100,100,6.8,overcast clouds
137,Zaysan,KZ,47.4667,84.8667,11.21,91,60,3.09,broken clouds
138,Cururupu,BR,-1.8283,-44.8683,74.21,96,70,1.66,broken clouds
139,Theunissen,ZA,-28.411,26.7011,66.33,62,82,3.29,broken clouds
140,Vytegra,RU,61.0064,36.4481,16.99,94,90,6.44,overcast clouds
